泉州阳硕鞋材有限公司,,,,,,,,,,,300码以下记得开小缸费,,,,,,,,,,,
送  货  单,,,,,,,,,,,,,,,,,,,,,,
收货单位：福建省莆田市双联鞋业有限公司,,,,,,NO.：,SHL2505055,,,,,,,,,,,,,,,
地址：福建省莆田市荔城区少林北街后埔村,,,,,,送货日期：,2025-05-23 00:00:00,,,,,,,,,,,,,,,
订单号,指令号,料号,品     名,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,,,
,2L001204,WF005009,13116黑色飞织面5.5,黑色,80,双,,,,8件,SHL2505001,2025-05-06 00:00:00,,,,,,,,,,
,2L001204,WF005011,13116黑色飞织面6.5,黑色,129,双,,,,,SHL2505001,2025-05-06 00:00:00,,,,,,,,,,
,2L001204,WF005012,13116黑色飞织面7,黑色,222,双,,,,,SHL2505001,2025-05-06 00:00:00,,,,,,,,,,
,2L001204,WF005014,13116黑色飞织面8,黑色,233,双,,,,,,,,,,,,,,,,
,2L001204,WF005015,13116黑色飞织面8.5,黑色,131,双,,,,,SHL2505001,2025-05-06 00:00:00,,,,,,,,,,
,2L001204,WF005017,13116黑色飞织面9.5,黑色,81,双,,,,,SHL2505001,2025-05-06 00:00:00,,,,,,,,,,
,2L001204,WF005143,13116黑色飞织舌面5.5,黑色,85,双,,,,,SHL2505002,2025-05-06 00:00:00,,,,,,,,,,
,2L001204,WF005144,13116黑色飞织舌面6,黑色,55,双,,,,,SHL2505002,2025-05-06 00:00:00,,,,,,,,,,
,2L001204,WF005145,13116黑色飞织舌面6.5,黑色,135,双,,,,,SHL2505002,2025-05-06 00:00:00,,,,,,,,,,
,2L001204,WF005146,13116黑色飞织舌面7,黑色,230,双,,,,,SHL2505002,2025-05-06 00:00:00,,,,,,,,,,
,2L001204,WF005147,13116黑色飞织舌面7.5,黑色,25,双,,,,,SHL2505002,2025-05-06 00:00:00,,,,,,,,,,
,2L001204,WF005148,13116黑色飞织舌面8,黑色,240,双,,,,,SHL2505002,2025-05-06 00:00:00,,,,,,,,,,
,2L001204,WF005149,13116黑色飞织舌面8.5,黑色,134,双,,,,,SHL2505002,2025-05-06 00:00:00,,,,,,,,,,
,2L001204,WF005150,13116黑色飞织舌面9,黑色,43,双,,,,,SHL2505002,2025-05-06 00:00:00,,,,,,,,,,
,2L001204,WF005151,13116黑色飞织舌面9.5,黑色,85,双,,,,,SHL2505002,2025-05-06 00:00:00,,,,,,,,,,
,2L001204,WF005152,13116黑色飞织舌面10,黑色,25,双,,,,,SHL2505002,2025-05-06 00:00:00,,,,,,,,,,
,2L001210,WF005009,13116黑色飞织面5.5,黑色,220,双,,,,,SHL2505003,2025-05-06 00:00:00,,,,,,,,,,
,2L001210,WF005011,13116黑色飞织面6.5,黑色,320,双,,,,,SHL2505003,2025-05-06 00:00:00,,,,,,,,,,
,2L001210,WF005012,13116黑色飞织面7,黑色,260,双,,,,,SHL2505003,2025-05-06 00:00:00,,,,,,,,,,
,2L001210,WF005014,13116黑色飞织面8,黑色,107,双,,,,,SHL2505003,2025-05-06 00:00:00,,,,,,,,,,
,2L001210,WF005015,13116黑色飞织面8.5,黑色,249,双,,,,,SHL2505003,2025-05-06 00:00:00,,,,,,,,,,
,2L001210,WF005017,13116黑色飞织面9.5,黑色,223,双,,,,,SHL2505003,2025-05-06 00:00:00,,,,,,,,,,
,2L001210,WF005010,13116黑色飞织面6,黑色,81,双,,,,,SHL2505004,2025-05-08 00:00:00,,,,,,,,,,
,2L001210,WF005011,13116黑色飞织面6.5,黑色,65,双,,,,,SHL2505004,2025-05-08 00:00:00,,,,,,,,,,
,2L001210,WF005012,13116黑色飞织面7,黑色,256,双,,,,,SHL2505004,2025-05-08 00:00:00,,,,,,,,,,
,2L001210,WF005013,13116黑色飞织面7.5,黑色,78,双,,,,,SHL2505004,2025-05-08 00:00:00,,,,,,,,,,
,2L001210,WF005014,13116黑色飞织面8,黑色,440,双,,,,,SHL2505004,2025-05-08 00:00:00,,,,,,,,,,
,2L001210,WF005015,13116黑色飞织面8.5,黑色,133,双,,,,,SHL2505004,2025-05-08 00:00:00,,,,,,,,,,
,2L001210,WF005016,13116黑色飞织面9,黑色,68,双,,,,,SHL2505004,2025-05-08 00:00:00,,,,,,,,,,
,2L001210,WF005018,13116黑色飞织面10,黑色,57,双,,,,,SHL2505004,2025-05-08 00:00:00,,,,,,,,,,
,2L001210,WF005143,13116黑色飞织舌面5.5,黑色,215,双,,,,,SHL2505005,2025-05-08 00:00:00,,,,,,,,,,
,2L001210,WF005144,13116黑色飞织舌面6,黑色,85,双,,,,,SHL2505005,2025-05-08 00:00:00,,,,,,,,,,
,2L001210,WF005145,13116黑色飞织舌面6.5,黑色,385,双,,,,,SHL2505005,2025-05-08 00:00:00,,,,,,,,,,
,2L001210,WF005146,13116黑色飞织舌面7,黑色,530,双,,,,,SHL2505005,2025-05-08 00:00:00,,,,,,,,,,
,2L001210,WF005147,13116黑色飞织舌面7.5,黑色,75,双,,,,,SHL2505005,2025-05-08 00:00:00,,,,,,,,,,
,2L001210,WF005148,13116黑色飞织舌面8,黑色,607,双,,,,,SHL2505005,2025-05-08 00:00:00,,,,,,,,,,
,2L001210,WF005149,13116黑色飞织舌面8.5,黑色,384,双,,,,,SHL2505005,2025-05-08 00:00:00,,,,,,,,,,
,2L001210,WF005150,13116黑色飞织舌面9,黑色,70,双,,,,,SHL2505005,2025-05-08 00:00:00,,,,,,,,,,
,2L001210,WF005151,13116黑色飞织舌面9.5,黑色,225,双,,,,,SHL2505005,2025-05-08 00:00:00,,,,,,,,,,
,2L001210,WF005152,13116黑色飞织舌面10,黑色,58,双,,,,,SHL2505005,2025-05-08 00:00:00,,,,,,,,,,
,2L001204,WF005010,13116黑色飞织面6,黑色,51,双,,,,,SHL2505006,2025-05-08 00:00:00,,,,,,,,,,
,2L001204,WF005013,13116黑色飞织面7.5,黑色,30,双,,,,,SHL2505006,2025-05-08 00:00:00,,,,,,,,,,
,2L001204,WF005016,13116黑色飞织面9,黑色,42,双,,,,,SHL2505006,2025-05-08 00:00:00,,,,,,,,,,
,2L001204,WF005018,13116黑色飞织面10,黑色,23,双,,,,,SHL2505006,2025-05-08 00:00:00,,,,,,,,,,
,2L001209,WF005071,13117黑色飞织面8.5,黑色,340,双,,,,12件,SHL2505007,2025-05-08 00:00:00,,,,,,,,,,
,2L001209,WF005072,13117黑色飞织面9,黑色,476,双,,,,,SHL2505007,2025-05-08 00:00:00,,,,,,,,,,
,2L001199,WF005071,13117黑色飞织面8.5,黑色,200,双,,,,,SHL2505007,2025-05-08 00:00:00,,,,,,,,,,
,2L001199,WF005072,13117黑色飞织面9,黑色,224,双,,,,,SHL2505007,2025-05-08 00:00:00,,,,,,,,,,
,2L001209,WF005153,13117黑色飞织舌面6.5,黑色,4,双,,,,,SHL2505008,2025-05-12 00:00:00,,,,,,,,,,
,2L001209,WF005154,13117黑色飞织舌面7,黑色,22,双,,,,,SHL2505008,2025-05-12 00:00:00,,,,,,,,,,
,2L001209,WF005155,13117黑色飞织舌面7.5,黑色,235,双,,,,,SHL2505008,2025-05-12 00:00:00,,,,,,,,,,
,2L001209,WF005156,13117黑色飞织舌面8,黑色,95,双,,,,,SHL2505008,2025-05-12 00:00:00,,,,,,,,,,
,2L001209,WF005157,13117黑色飞织舌面8.5,黑色,340,双,,,,,SHL2505008,2025-05-12 00:00:00,,,,,,,,,,
,2L001209,WF005158,13117黑色飞织舌面9,黑色,488,双,,,,,SHL2505008,2025-05-12 00:00:00,,,,,,,,,,
,2L001209,WF005159,13117黑色飞织舌面9.5,黑色,132,双,,,,,SHL2505008,2025-05-12 00:00:00,,,,,,,,,,
,2L001209,WF005160,13117黑色飞织舌面10,黑色,530,双,,,,,SHL2505008,2025-05-12 00:00:00,,,,,,,,,,
,2L001209,WF005161,13117黑色飞织舌面10.5,黑色,160,双,,,,,SHL2505009,2025-05-12 00:00:00,,,,,,,,,,
,2L001209,WF005162,13117黑色飞织舌面11,黑色,408,双,,,,,SHL2505009,2025-05-12 00:00:00,,,,,,,,,,
,2L001209,WF005163,13117黑色飞织舌面11.5,黑色,300,双,,,,,SHL2505009,2025-05-12 00:00:00,,,,,,,,,,
,2L001209,WF005164,13117黑色飞织舌面12,黑色,80,双,,,,,SHL2505009,2025-05-12 00:00:00,,,,,,,,,,
,2L001209,WF005165,13117黑色飞织舌面12.5,黑色,120,双,,,,,SHL2505009,2025-05-12 00:00:00,,,,,,,,,,
,2L001209,WF005166,13117黑色飞织舌面13,黑色,40,双,,,,,SHL2505009,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005153,13117黑色飞织舌面6.5,黑色,4,双,,,,,SHL2505010,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005154,13117黑色飞织舌面7,黑色,10,双,,,,,SHL2505010,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005155,13117黑色飞织舌面7.5,黑色,100,双,,,,,SHL2505010,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005156,13117黑色飞织舌面8,黑色,12,双,,,,,SHL2505010,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005157,13117黑色飞织舌面8.5,黑色,200,双,,,,,SHL2505010,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005158,13117黑色飞织舌面9,黑色,301,双,,,,,SHL2505010,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005159,13117黑色飞织舌面9.5,黑色,35,双,,,,,SHL2505010,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005160,13117黑色飞织舌面10,黑色,364,双,,,,,SHL2505010,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005161,13117黑色飞织舌面10.5,黑色,20,双,,,,,SHL2505011,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005162,13117黑色飞织舌面11,黑色,310,双,,,,,SHL2505011,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005163,13117黑色飞织舌面11.5,黑色,188,双,,,,,SHL2505011,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005164,13117黑色飞织舌面12,黑色,10,双,,,,,SHL2505011,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005165,13117黑色飞织舌面12.5,黑色,100,双,,,,,SHL2505011,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005166,13117黑色飞织舌面13,黑色,38,双,,,,,SHL2505011,2025-05-12 00:00:00,,,,,,,,,,
,2L001198,WF006451,13117暗蓝19-3929TPG飞织舌面7,暗蓝19-3929TPG,4,双,,,,,SHL2505012,2025-05-12 00:00:00,,,,,,,,,,
,2L001198,WF006452,13117暗蓝19-3929TPG飞织舌面7.5,暗蓝19-3929TPG,49,双,,,,,SHL2505012,2025-05-12 00:00:00,,,,,,,,,,
,2L001198,WF006453,13117暗蓝19-3929TPG飞织舌面8,暗蓝19-3929TPG,4,双,,,,,SHL2505012,2025-05-12 00:00:00,,,,,,,,,,
,2L001198,WF006454,13117暗蓝19-3929TPG飞织舌面8.5,暗蓝19-3929TPG,120,双,,,,,SHL2505012,2025-05-12 00:00:00,,,,,,,,,,
,2L001198,WF006455,13117暗蓝19-3929TPG飞织舌面9,暗蓝19-3929TPG,144,双,,,,,SHL2505012,2025-05-12 00:00:00,,,,,,,,,,
,2L001198,WF006456,13117暗蓝19-3929TPG飞织舌面9.5,暗蓝19-3929TPG,27,双,,,,,SHL2505012,2025-05-12 00:00:00,,,,,,,,,,
,2L001198,WF006457,13117暗蓝19-3929TPG飞织舌面10,暗蓝19-3929TPG,185,双,,,,,SHL2505012,2025-05-12 00:00:00,,,,,,,,,,
,2L001198,WF006458,13117暗蓝19-3929TPG飞织舌面10.5,暗蓝19-3929TPG,11,双,,,,,SHL2505012,2025-05-12 00:00:00,,,,,,,,,,
,2L001198,WF006459,13117暗蓝19-3929TPG飞织舌面11,暗蓝19-3929TPG,145,双,,,,,SHL2505013,2025-05-12 00:00:00,,,,,,,,,,
,2L001198,WF006460,13117暗蓝19-3929TPG飞织舌面11.5,暗蓝19-3929TPG,110,双,,,,,SHL2505013,2025-05-12 00:00:00,,,,,,,,,,
,2L001198,WF006461,13117暗蓝19-3929TPG飞织舌面12,暗蓝19-3929TPG,5,双,,,,,SHL2505013,2025-05-12 00:00:00,,,,,,,,,,
,2L001198,WF006462,13117暗蓝19-3929TPG飞织舌面12.5,暗蓝19-3929TPG,63,双,,,,,SHL2505013,2025-05-12 00:00:00,,,,,,,,,,
,2L001198,WF006463,13117暗蓝19-3929TPG飞织舌面13,暗蓝19-3929TPG,30,双,,,,,SHL2505013,2025-05-12 00:00:00,,,,,,,,,,
,2L001208,WF006479,13117深橄榄色19-0516TPG舌面飞织7,深橄榄色19-0516TPG,12,双,,,,,SHL2505014,2025-05-12 00:00:00,,,,,,,,,,
,2L001208,WF006480,13117深橄榄色19-0516TPG舌面飞织7.5,深橄榄色19-0516TPG,104,双,,,,,SHL2505014,2025-05-12 00:00:00,,,,,,,,,,
,2L001208,WF006481,13117深橄榄色19-0516TPG舌面飞织8,深橄榄色19-0516TPG,32,双,,,,,SHL2505014,2025-05-12 00:00:00,,,,,,,,,,
,2L001208,WF006482,13117深橄榄色19-0516TPG舌面飞织8.5,深橄榄色19-0516TPG,168,双,,,,,SHL2505014,2025-05-12 00:00:00,,,,,,,,,,
,2L001208,WF006483,13117深橄榄色19-0516TPG舌面飞织9,深橄榄色19-0516TPG,300,双,,,,,SHL2505014,2025-05-12 00:00:00,,,,,,,,,,
,2L001208,WF006484,13117深橄榄色19-0516TPG舌面飞织9.5,深橄榄色19-0516TPG,35,双,,,,,SHL2505014,2025-05-12 00:00:00,,,,,,,,,,
,2L001208,WF006485,13117深橄榄色19-0516TPG舌面飞织10,深橄榄色19-0516TPG,310,双,,,,,SHL2505015,2025-05-12 00:00:00,,,,,,,,,,
,2L001208,WF006486,13117深橄榄色19-0516TPG舌面飞织10.5,深橄榄色19-0516TPG,58,双,,,,,SHL2505015,2025-05-12 00:00:00,,,,,,,,,,
,2L001208,WF006487,13117深橄榄色19-0516TPG舌面飞织11,深橄榄色19-0516TPG,205,双,,,,,SHL2505015,2025-05-12 00:00:00,,,,,,,,,,
,2L001208,WF006488,13117深橄榄色19-0516TPG舌面飞织11.5,深橄榄色19-0516TPG,160,双,,,,,SHL2505015,2025-05-12 00:00:00,,,,,,,,,,
,2L001208,WF006489,13117深橄榄色19-0516TPG舌面飞织12,深橄榄色19-0516TPG,14,双,,,,,SHL2505015,2025-05-12 00:00:00,,,,,,,,,,
,2L001208,WF006490,13117深橄榄色19-0516TPG舌面飞织12.5,深橄榄色19-0516TPG,75,双,,,,,SHL2505015,2025-05-12 00:00:00,,,,,,,,,,
,2L001208,WF006491,13117深橄榄色19-0516TPG舌面飞织13,深橄榄色19-0516TPG,42,双,,,,,SHL2505015,2025-05-12 00:00:00,,,,,,,,,,
,2L001209,WF005069,13117黑色飞织面7.5,黑色,226,双,,,,,SHL2505016,2025-05-12 00:00:00,,,,,,,,,,
,2L001209,WF005073,13117黑色飞织面9.5,黑色,130,双,,,,,SHL2505016,2025-05-12 00:00:00,,,,,,,,,,
,2L001209,WF005074,13117黑色飞织面10,黑色,529,双,,,,,SHL2505016,2025-05-12 00:00:00,,,,,,,,,,
,2L001209,WF005075,13117黑色飞织面10.5,黑色,120,双,,,,,SHL2505016,2025-05-12 00:00:00,,,,,,,,,,
,2L001209,WF005076,13117黑色飞织面11,黑色,394,双,,,,,SHL2505016,2025-05-12 00:00:00,,,,,,,,,,
,2L001209,WF005077,13117黑色飞织面11.5,黑色,294,双,,,,,SHL2505016,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005069,13117黑色飞织面7.5,黑色,80,双,,,,,SHL2505017,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005072,13117黑色飞织面9,黑色,82,双,,,,,SHL2505017,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005073,13117黑色飞织面9.5,黑色,32,双,,,,,SHL2505017,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005074,13117黑色飞织面10,黑色,320,双,,,,,SHL2505017,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005076,13117黑色飞织面11,黑色,282,双,,,,,SHL2505017,2025-05-12 00:00:00,,,,,,,,,,
,2L001199,WF005077,13117黑色飞织面11.5,黑色,188,双,,,,,SHL2505017,2025-05-12 00:00:00,,,,,,,,,,
,2L001198,WF006442,13117暗蓝19-3929TPG飞织面9.5,暗蓝19-3929TPG,26,双,,,,,SHL2505018,2025-05-12 00:00:00,,,,,,,,,,
,2L001198,WF006443,13117暗蓝19-3929TPG飞织面10,暗蓝19-3929TPG,183,双,,,,,SHL2505018,2025-05-12 00:00:00,,,,,,,,,,
,2L001198,WF006446,13117暗蓝19-3929TPG飞织面11.5,暗蓝19-3929TPG,76,双,,,,,SHL2505018,2025-05-12 00:00:00,,,,,,,,,,
,2L001200,WF006525,13117灰蓝18-4214TPG飞织面9,灰蓝18-4214TPG,80,双,,,,,SHL2505018,2025-05-12 00:00:00,,,,,,,,,,
,2L001200,WF006527,13117灰蓝18-4214TPG飞织面10,灰蓝18-4214TPG,158,双,,,,,SHL2505018,2025-05-12 00:00:00,,,,,,,,,,
,2L001200,WF006529,13117灰蓝18-4214TPG飞织面11,灰蓝18-4214TPG,40,双,,,,,SHL2505018,2025-05-12 00:00:00,,,,,,,,,,
,2L001208,WF006469,13117深橄榄色19-0516TPG飞织面9,深橄榄色19-0516TPG,267,双,,,,,SHL2505019,2025-05-12 00:00:00,,,,,,,,,,
,2L001208,WF006470,13117深橄榄色19-0516TPG飞织面9.5,深橄榄色19-0516TPG,34,双,,,,,SHL2505019,2025-05-12 00:00:00,,,,,,,,,,
,2L001208,WF006471,13117深橄榄色19-0516TPG飞织面10,深橄榄色19-0516TPG,200,双,,,,,SHL2505019,2025-05-12 00:00:00,,,,,,,,,,
,2L001208,WF006472,13117深橄榄色19-0516TPG飞织面10.5,深橄榄色19-0516TPG,57,双,,,,,SHL2505019,2025-05-12 00:00:00,,,,,,,,,,
,2L001206,WF005974,13116蘑菇灰13-4201TPG飞织舌面5.5,蘑菇灰13-4201TPG,103,双,,,,,SHL2505020,2025-05-12 00:00:00,,,,,,,,,,
,2L001206,WF005975,13116蘑菇灰13-4201TPG飞织舌面6,蘑菇灰13-4201TPG,40,双,,,,,SHL2505020,2025-05-12 00:00:00,,,,,,,,,,
,2L001206,WF005976,13116蘑菇灰13-4201TPG飞织舌面6.5,蘑菇灰13-4201TPG,160,双,,,,,SHL2505020,2025-05-12 00:00:00,,,,,,,,,,
,2L001206,WF005977,13116蘑菇灰13-4201TPG飞织舌面7,蘑菇灰13-4201TPG,248,双,,,,,SHL2505020,2025-05-12 00:00:00,,,,,,,,,,
,2L001206,WF005978,13116蘑菇灰13-4201TPG飞织舌面7.5,蘑菇灰13-4201TPG,24,双,,,,,SHL2505020,2025-05-12 00:00:00,,,,,,,,,,
,2L001206,WF005979,13116蘑菇灰13-4201TPG飞织舌面8,蘑菇灰13-4201TPG,230,双,,,,,SHL2505020,2025-05-12 00:00:00,,,,,,,,,,
,2L001206,WF005980,13116蘑菇灰13-4201TPG飞织舌面8.5,蘑菇灰13-4201TPG,146,双,,,,,SHL2505020,2025-05-12 00:00:00,,,,,,,,,,
,2L001206,WF005981,13116蘑菇灰13-4201TPG飞织舌面9,蘑菇灰13-4201TPG,20,双,,,,,SHL2505020,2025-05-12 00:00:00,,,,,,,,,,
,2L001206,WF005982,13116蘑菇灰13-4201TPG飞织舌面9.5,蘑菇灰13-4201TPG,90,双,,,,,SHL2505020,2025-05-12 00:00:00,,,,,,,,,,
,2L001206,WF005983,13116蘑菇灰13-4201TPG飞织舌面10,蘑菇灰13-4201TPG,20,双,,,,,SHL2505020,2025-05-12 00:00:00,,,,,,,,,,
,2L001201,WF006422,13117冷灰COOL GRAY 7U飞织舌面6.5,冷灰COOL,4,双,,,,,SHL2505021,2025-05-12 00:00:00,,,,,,,,,,
,2L001201,WF006423,13117冷灰COOL GRAY 7U飞织舌面7,冷灰COOL,12,双,,,,,SHL2505021,2025-05-12 00:00:00,,,,,,,,,,
,2L001201,WF006424,13117冷灰COOL GRAY 7U飞织舌面7.5,冷灰COOL,72,双,,,,,SHL2505021,2025-05-12 00:00:00,,,,,,,,,,
,2L001201,WF006425,13117冷灰COOL GRAY 7U飞织舌面8,冷灰COOL,36,双,,,,,SHL2505021,2025-05-12 00:00:00,,,,,,,,,,
