泉州阳硕鞋材有限公司,,,,,,,,,,,300码以下记得开小缸费 牛津布1000Y以下开染费 帆布500Y以下开染费，丝光布白度每次问下要哪个白,,,,,,,,,,,,丝光
4510248326,2X003499,WB13223,"380G K666单层网布54""",黑色,697,码,12,,,,XC2601004,2026-01-11 00:00:00,60*11+37=697重量：23.5*11+14.7,,,,,,,,,,
4510249155,2X003508,WJ000028,"180G佳积布58""",深灰,68,码,1,,,12.6公斤,XC2601004,2026-01-11 00:00:00,,,,,,,,,,,
4510246243,1X001786,WD003772,"220G  TANGO SUEDE弹力超纤布54""",08-BEIGE米色,561,码,3,,,,XC2601005,2026-01-12 00:00:00,224+211+128=563重量：44.8+47.8+26.9,,,,,,,,,,
4510249237,2X003510,WB6769,"300G 提花天鹅绒54""",白色,201,码,2,,,,XC2601006,2026-01-13 00:00:00,97+104=201  重量：29+32.7,,,,,,,,,,
4510249429,3X000378M,WD001386,"250G低弹平布54""",白色11-0601TPG,11,码,1,,,,XC2601006,2026-01-13 00:00:00,,,,,,,,,,,
4510249429,3X000379M,WD001387,"250G低弹平布54""",黑色,1,码,1,,,,XC2601006,2026-01-13 00:00:00,,,,,,,,,,,
4510249429,3X000378M,WD001865,"300G 天鹅绒54""",白色,151,码,2,,,,XC2601006,2026-01-13 00:00:00,100+51=151 重量27.8+15.2,,,,,,,,,,
4510249155,2X003504,WJ000026,"180G佳积布58""",黑色,355,码,3,,,,XC2601007,2026-01-15 00:00:00,135*2+85=355 重量25.1*2+16.5,,,,,,,,,,
4510249155,2X003506,WJ000025,"180G佳积布58""",棕色,196,码,2,,,,XC2601007,2026-01-15 00:00:00,,,,,,,,,,,
4510249582,2X003517M,WJ000025,"180G佳积布58""",棕色,11,码,,,,,XC2601007,2026-01-15 00:00:00,122+85=207 重量24.7+16.1,,,,,,,,,,
,,,小缸费,棕色,1,个,,,,,XC2601007,2026-01-15 00:00:00,,,,,,,,,,,
4510249429,3X000379M,WD000952,"230G莱卡布54""",黑色,96,码,1,,,22.8,XC2601007,2026-01-15 00:00:00,,,,,,,,,,,
4510249155,2X003505,WJ000029,"180G佳积布58""",深蓝,144,码,2,,,,XC2601007,2026-01-15 00:00:00,,,,,,,,,,,
4510249488,2X003518M,WJ000029,"180G佳积布58""",深蓝,11,码,,,,,XC2601007,2026-01-15 00:00:00,130+25=155 重量24.8+5.2,,,,,,,,,,
,,,小缸费,深蓝,1,个,,,,,XC2601007,2026-01-15 00:00:00,,,,,,,,,,,
4510249171,2X003515,WB10687,"180G佳积布52""",白色,100,码,1,,,17,XC2601008,2026-01-15 00:00:00,,,,,,,,,,,
4510249282,2X003516,WJ000300,"150G佳积布54""",黑色,98,码,1,,,15.9,XC2601008,2026-01-15 00:00:00,,,,,,,,,,,
4510249488,2X003519M,WJ000026,"180G佳积布58""",黑色,11,码,1,,,,XC2601008,2026-01-15 00:00:00,,,,,,,,,,,
4510249778,3X000380M,WB13219,"180G 黑色K209网布54""",黑色,99,码,1,,,18.4,XC2601008,2026-01-15 00:00:00,,,,,,,,,,,
4510249872,3X000383M,WB10878,"白色210D牛津布54""",白色,2,码,1,,,,XC2601008,2026-01-15 00:00:00,,,,,,,,,,,
4510248874,3X000368M,WS001431,"320GYSD137加厚内里布54""",白色,549,码,9,,,,XC2601009,2026-01-16 00:00:00,,,,,,,,,,,
4510249429,3X000376M,WS001431,"320GYSD137加厚内里布54""",白色,125,码,,,,,XC2601009,2026-01-16 00:00:00,76*9=684(多10Y)24.5*9,,,,,,,,,,
4510248326,2X003499,WB4780,"230G 11301 POLYPAG II 网布54""",标准黑,568,码,6,,,,XC2601009,2026-01-16 00:00:00,100*5+68=568 重量：24.1*2+23.9+24.3+24.4+17.2,,,,,花掉重发,,,,,
,,WD003789,"230G BK网布54""",TAN棕色,10,码,1,,,,XC2601010,2026-01-17 00:00:00,,,,,,,,,,,
4510246243,1X001785,WD003687,"220G TANGO SUEDE弹力超纤布54""",67NAVY深蓝色,561,码,6,,,,XC2601010,2026-01-17 00:00:00,103+90*2+91*2+101=566 重量：26.2+22.8+23.1+23.9+24.8+22.6,,,,,,,,,,
4510248874,3X000367M,WS001432,"320G YSD137加厚内里布54""",黑色,192,码,3,,,,XC2601010,2026-01-17 00:00:00,72*2+48=192 重量：24.3*2+17.7,,,,,,,,,,
4510249582,2X003517M,WB12252,"10安帆布54""",棕色,36,码,1,,,,XC2601010,2026-01-17 00:00:00,,,,,,,,,,,
4510249582,2X003517M,WB16877,"8安帆布54""",棕色,4,码,,,,,XC2601010,2026-01-17 00:00:00,,,,,,,,,,,
,,,小缸费,棕色,1,个,,,,,XC2601010,2026-01-17 00:00:00,,,,,,,,,,,
4510248874,3X000375M,WS000407,"380G YD-0731三明治网布上树脂54""",白色,171,码,3,,,,XC2601010,2026-01-17 00:00:00,60*2+51 =171 重量30*2+27.5,,,,,,,,,,
4510249282,2X003511,WD004750,"300G提花天鹅绒54""",田园绿色,4,码,1,,,,XC2601011,2026-01-20 00:00:00,,,,,,,,,,,
,,实发6Y,小缸费,田园绿色,1,个,,,,,XC2601011,2026-01-20 00:00:00,,,,,,,,,,,
4510249282,2X003510,WD004751,"300G提花天鹅绒54""",象牙白色,4,码,1,,,,XC2601011,2026-01-20 00:00:00,,,,,,,,,,,
,,实发6Y,小缸费,象牙白色,1,个,,,,,XC2601011,2026-01-20 00:00:00,,,,,,,,,,,
4510249282,2X003512,WD004738,"230G K209网布54""",深灰色,58,码,1,,,,XC2601011,2026-01-20 00:00:00,,,,,,,,,,,
,,,小缸费,深灰色,1,个,,,,,XC2601011,2026-01-20 00:00:00,,,,,,,,,,,
4510249155,2X003508,WJ000028,"180G佳积布58""",深灰,11,码,1,,,,XC2601011,2026-01-20 00:00:00,实发15Y（多4Y，不同缸稍有缸差请配双使用）,,,,,,,,,,
,,,小缸费,深灰,1,个,,,,,XC2601011,2026-01-20 00:00:00,,,,,,,,,,,
4510249282,2X003510,WD004740,"230G  K209网布54""",象牙白色,71,码,1,,,,XC2601012,2026-01-22 00:00:00,,,,,,,,,,,
,,,小缸费,象牙白色,1,个,,,,,XC2601012,2026-01-22 00:00:00,,,,,,,,,,,
4510249429,3X000378M,WD004764,"230G莱卡布54""",19-2524TPG深紫色,85,码,1,,,实发90Y,XC2601012,2026-01-22 00:00:00,,,,,,,,,,,
,,,小缸费,19-2524TPG深紫色,1,个,,,,,XC2601012,2026-01-22 00:00:00,,,,,,,,,,,
4510250550,3X000387M,WD001386,"250G白色低弹平布54""",白色11-0601TPG,19,码,1,,,,XC2601013,2026-01-23 00:00:00,,,,,,,,,,,
4510250550,3X000386M,WD001387,"250G黑色低弹平布54""",黑色,19,码,1,,,,XC2601013,2026-01-23 00:00:00,,,,,,,,,,,
4510250205,2X003520,WB10878,"白色210D牛津布54""",白色,1,码,1,,,,XC2601013,2026-01-23 00:00:00,,,,,,,,,,,
4510250572,2X003520,WB10878,"白色210D牛津布54""",白色,7,码,,,,,XC2601013,2026-01-23 00:00:00,,,,,,,,,,,
4510250572,2X003520,WY000085,"黑色210D牛津布54""",黑色,7,码,1,,,,XC2601013,2026-01-23 00:00:00,,,,,,,,,,,
4510250599,2X003525,WY000085,"黑色210D牛津布54""",黑色,2,码,,,,,XC2601013,2026-01-23 00:00:00,,,,,,,,,,,
4510250550,3X000388M,WB6769,"300G 白色提花天鹅绒54""",白色,116,码,2,,,100+16,XC2601013,2026-01-23 00:00:00,,,,,,,,,,,
4510248326,2X003499,WD004645,"130G 拿铁色丝光布54""",15-1220TPG拿铁色,2535,码,18,,,,XC2601013,2026-01-23 00:00:00,145*16+135+80=2535,,,,,,,,,,
4510251467,3X000391M,WD003686,"220G TANGO SUEDE弹力超纤布54""",BLACK黑色,3,码,1,,,,XC2601014,2026-01-23 00:00:00,,,,,,,,,,,
,,WD004403,"220G 鸡皮绒54""",#06-BEIGE米色,10,码,1,,,,XC2601014,2026-01-23 00:00:00,,,,,,,,,,,
4510250550,3X000389M,WB10742,"300G提花天鹅绒54""",黑色,281,码,3,,,100*2+81=281,XC2601015,2026-01-24 00:00:00,,,,,,,,,,,
4510250550,3X000386M,WD001456,"300G 黑色天鹅绒54""",黑色,103,码,2,,,,XC2601015,2026-01-24 00:00:00,,,,,,,,,,,
4510251955,3X000401M,WD001456,"300G 黑色天鹅绒54""",黑色,11,码,,,,,XC2601015,2026-01-24 00:00:00,97+17=114（两件不同缸，请分开配双使用！）,,,,,,,,,,
4510251955,3X000401M,WD001387,"250G低弹平布54""",黑色,1,码,1,,,,XC2601015,2026-01-24 00:00:00,,,,,,,,,,,
4510251653,,WB10878,"210D牛津布54""",白色,7,码,1,,,,XC2601015,2026-01-24 00:00:00,,,,,,,,,,,
4510251653,,WY000085,"210D牛津布54""",黑色,4,码,1,,,,XC2601015,2026-01-24 00:00:00,,,,,,,,,,,
4510251653,,WB13223,"380G K666单层网布54""",黑色,22,码,1,,,,XC2601015,2026-01-24 00:00:00,,,,,,,,,,,
4510251955,3X000391M,WB10689,"180G佳积布54""",黑色,3,码,1,,,,XC2601015,2026-01-24 00:00:00,,,,,,,,,,,
4510251955,3X000401M,WD000952,"230G莱卡布54""",黑色,4,码,1,,,,XC2601015,2026-01-24 00:00:00,,,,,,,,,,,
4510251955,3X000401M,WD003839,"230G莱卡布54""",17-0000TPG浅灰色,3,码,1,,,,XC2601015,2026-01-24 00:00:00,,,,,,,,,,,
4510251653,,WB7416,"3U黑色180G天鹅绒54""",黑色,109,码,1,,,,XC2601016,2026-01-25 00:00:00,,,,,,,,,,,
4510248326,2X003499,WD004728,"360-370G BH-0289方格压纹四弹布58""",黑色,500,码,7,,,,XC2601016,2026-01-25 00:00:00,75*5+78+47=500,,,,,,,,,,
4510252169,2X003531,WB12252,"10安帆布54""",棕色,4,码,3,,,,XC2601016,2026-01-25 00:00:00,,,,,,,,,,,
4510252324,2X003530,WB12252,"10安帆布54""",棕色,266,码,,,,,XC2601016,2026-01-25 00:00:00,165*2+16=346,,,,,,,,,,
4510252324,2X003530,WB16877,"8安帆布54""",棕色,76,码,,,,,XC2601016,2026-01-25 00:00:00,,,,,,,,,,,
4510252324,2X003537,WY000085,"黑色210D牛津布54""",黑色,5,码,1,,,,XC2601016,2026-01-25 00:00:00,,,,,,,,,,,
4510252157,2X003527,WJ000146,"120G 黑色佳积布54""",黑色,155,码,1,,,,XC2601017,2026-01-26 00:00:00,,,,,,,,,,,
4510249282,2X003511,WD004739,"230G K209网布54""",竹绿色,73,码,1,,,,XC2601017,2026-01-26 00:00:00,,,,,,,,,,,
,,,小缸费,竹绿色,1,个,,,,,XC2601017,2026-01-26 00:00:00,,,,,,,,,,,
4510249778,3X000380M,WS000962,"380G YD-0731三明治网布上树脂54""",黑色,172,Y,3,,,,XC2601018,2026-01-27 00:00:00,60*2+52=172 重量 31*2+27.9,,,,,,,,,,
4510252157,2X003527,WJ000483,"220G佳积布54""",黑色,586,Y,6,,,,XC2601018,2026-01-27 00:00:00,3*107+105+106+54=586  重量：5*25.2+12.8,,,,,,,,,,
4510250550,2X003524,WJ000026,"180G黑色佳积布58""",黑色,106,Y,1,,,21.8,XC2601019,2026-01-28 00:00:00,,,,,,,,,,,
4510252276,2X003537,WB10689,"180G黑色佳积布54""",黑色,59,Y,1,,,11.4,XC2601019,2026-01-28 00:00:00,,,,,,,,,,,
4510252703,2X003538,WB12252,"10安帆布54""",棕色,90,Y,1,,,,XC2601020,2026-01-30 00:00:00,,,,,,,,,,,
4510252703,2X003538,WB16877,"8安帆布54""",棕色,11,Y,,,,,XC2601020,2026-01-30 00:00:00,,,,,,,,,,,
4510248326,2X003499,WD004728,"360-370G BH-0289方格压纹四弹布58""",黑色,39,码,1,,,,XC2601020,2026-01-30 00:00:00,,,,,,,,,,,
4510251653,,WD004728,"360-370G BH-0289方格压纹四弹布58""",黑色,5,码,,,,,XC2601020,2026-01-30 00:00:00,和前缸不同缸多6Y，请分批使用,,,,,,,,,,
4510252514,2X003538,WJ000025,"180G佳积布58""",棕色,31,码,1,,,,XC2601020,2026-01-30 00:00:00,,,,,,,,,,,
,,,小缸费,棕色,1,个,,,,,XC2601020,2026-01-30 00:00:00,,,,,,,,,,,
4510252514,2X003539,WJ000028,"180G佳积布58""",深灰,31,码,1,,,,XC2601020,2026-01-30 00:00:00,,,,,,,,,,,
,,,小缸费,深灰,1,个,,,,,XC2601020,2026-01-30 00:00:00,,,,,,,,,,,
4510248326,2X003499,WB4780,"230G 11301 POLYPAG II 网布54""",标准黑,568,码,6,,,,XC2602001,2026-02-01 00:00:00,100*4+105+63=568,,,,,,,,,,
4510254207,2X003441BD,WD002116,"380G YS5736网布54""",墨青蓝色,1,码,1,,,,XC2602002,2026-02-03 00:00:00,,,,,,,,,,,
4510251955,2X003528,WJ000518,"220G 佳积布54""",深蓝色,437,码,4,,,,XC2602002,2026-02-03 00:00:00,102+113+115+109=439,,,,,,,,,,
4510251955,2X003528,WD003841,"250G莱卡布54""",深蓝色,566,码,6,,,,XC2602002,2026-02-03 00:00:00,103*3+125+94+38=566,,,,,,,,,,
4510250550,3X000387M,WD001865,"300G 天鹅绒54""",白色,181,码,2,,,100+81=181,XC2602003,2026-02-04 00:00:00,,,,,,,,,,,
4510252169,2X003528,WH000041,"12安帆布54""",棕色,431,码,8,,,,XC2602003,2026-02-04 00:00:00,,,,,,,,,,,
4510252324,2X003537,WH000041,"12安帆布54""",棕色,424,码,,,,,XC2602003,2026-02-04 00:00:00,113*2+132+79+115+103+111+89=855,,,,,,,,,,
4510255322,2X003573,WB4617,"230G POLYPAG PII网布54""",标准白,34,码,2,,,,XC2603001,2026-03-04 00:00:00,,,,,,,,,,,
4510255358,2X003573,WB4617,"230G POLYPAG PII网布54""",标准白,92,码,,,,,XC2603001,2026-03-04 00:00:00,,,,,,,,,,,
4510255446,2X003573,WB4617,"230G POLYPAG PII网布54""",标准白,29,码,,,,,XC2603001,2026-03-04 00:00:00,,,,,,,,,,,
4510256396,2X003617,WB4617,"230G POLYPAG PII网布54""",标准白,10,码,,,,,XC2603001,2026-03-04 00:00:00,,,,,,,,,,,
,,,100+65=165,,,,,,,,XC2603001,2026-03-04 00:00:00,,,,,,,,,,,
4510254500,2X003540,WB4780,"230G 11301POLYPAG II 网布54""",标准黑,17,码,2,,,,XC2603001,2026-03-04 00:00:00,,,,,,,,,,,
4510255322,2X003575,WB4780,"230G 11301POLYPAG II 网布54""",标准黑,113,码,,,,,XC2603001,2026-03-04 00:00:00,,,,,,,,,,,
,,,100+30=130,,,,,,,,XC2603001,2026-03-04 00:00:00,,,,,,,,,,,
4510255075,3X000419M,WD001803,"180G K209网布54""",岩石灰色,5,码,1,,,,XC2603002,2026-03-04 00:00:00,,,,,,,,,,,
4510255075,3X000417M,WD004103,"180G K209网布54""",14-4112TPG天空蓝色,5,码,1,,,,XC2603002,2026-03-04 00:00:00,,,,,,,,,,,
4510255322,2X003570,WD000908,"180G K209网布57""",灰褐色14-4501TPG,240,码,2,,,,XC2603002,2026-03-04 00:00:00,,,,,,,,,,,
,,,120*2=240,,,,,,,,XC2603002,2026-03-04 00:00:00,,,,,,,,,,,
4510255322,2X003558,WB13219,"180G K209网布54""",黑色,260,码,2,,,,XC2603002,2026-03-04 00:00:00,,,,,,,,,,,
,,,120+140=260,,,,,,,,XC2603002,2026-03-04 00:00:00,,,,,,,,,,,
4510255322,2X003550,WD003509,"180G棕色 K209网布54""",棕色18-0950TPG,61,码,1,,,,XC2603002,2026-03-04 00:00:00,,,,,,,,,,,
4510255322,2X003573,WD002924,"240GYS121细纱弹力网布上轻树脂54""",白色,85,码,1,,,,XC2603002,2026-03-04 00:00:00,,,,,,,,,,,
4510256396,2X003617,WD002924,"240GYS121细纱弹力网布上轻树脂54""",白色,9,码,,,,,XC2603002,2026-03-04 00:00:00,,,,,,,,,,,
4510254500,2X003540,WB13223,"380GK666单层网布54""",黑色,28,码,1,,,,XC2603003,2026-03-04 00:00:00,,,,,,,,,,,
4510255322,2X003558,WB13223,"380GK666单层网布54""",黑色,32,码,,,,,XC2603003,2026-03-04 00:00:00,,,,,,,,,,,
4510255322,2X003570,WB6769,"300G 提花天鹅绒54""",白色,124,码,4,,,,XC2603003,2026-03-04 00:00:00,,,,,,,,,,,
4510255358,2X003570,WB6769,"300G 提花天鹅绒54""",白色,122,码,,,,,XC2603003,2026-03-04 00:00:00,,,,,,,,,,,
4510255446,2X003570,WB6769,"300G 提花天鹅绒54""",白色,150,码,,,,,XC2603003,2026-03-04 00:00:00,,,,,,,,,,,
4510256396,2X003617,WB6769,"300G 提花天鹅绒54""",白色,7,码,,,,,XC2603003,2026-03-04 00:00:00,,,,,,,,,,,
,,,3*100+103=403,,,,,,,,XC2603003,2026-03-04 00:00:00,,,,,,,,,,,
4510255075,3X000417M,WS000407,"380G YD-0731三明治网布上树脂54""",白色,9,码,1,,,,XC2603003,2026-03-04 00:00:00,,,,,,,,,,,
4510255075,3X000419M,WS000658,"380G  YD-0731三明治网布上树脂54""",岩石灰14-4201TPG,6,码,1,,,,XC2603004,2026-03-04 00:00:00,,,,,,,,,,,
,,,小缸费,岩石灰14-4201TPG,1,个,,,,,XC2603004,2026-03-04 00:00:00,,,,,,,,,,,
4510255075,3X000418M,WS001281,"380G  YD-0731三明治网布上树脂54""",蒸汽蓝14-4203TPG,5,码,1,,,,XC2603004,2026-03-04 00:00:00,,,,,,,,,,,
,,,小缸费,蒸汽蓝14-4203TPG,1,个,,,,,XC2603004,2026-03-04 00:00:00,,,,,,,,,,,
4510255075,3X000420C,WS001543,"320GYSD137加厚内里布54""",19-3922TPG冠军蓝色,1,码,1,,,,XC2603004,2026-03-04 00:00:00,,,,,,,,,,,
4510255075,3X000416M,WS001620,"320G YSD137加厚内里布54""",18-1248TPG铁锈红色,2,码,1,,,,XC2603004,2026-03-04 00:00:00,,,,,,,,,,,
4510255322,2X003572,WJ000026,"180G佳积布58""",黑色,26,码,1,,,,XC2603004,2026-03-04 00:00:00,,,,,,,,,,,
4510255976,2X003610,WJ000026,"180G佳积布58""",黑色,36,码,,,,,XC2603004,2026-03-04 00:00:00,,,,,,,,,,,
4510255757,2X003605,WB10878,"210D牛津布54""",白色,2,码,1,,,,XC2603005,2026-03-04 00:00:00,,,,,,,,,,,
4510256396,1X001792,WB10878,"210D牛津布54""",白色,17,码,,,,,XC2603005,2026-03-04 00:00:00,,,,,,,,,,,
4510256396,2X003615,WB10878,"210D牛津布54""",白色,7,码,,,,,XC2603005,2026-03-04 00:00:00,,,,,,,,,,,
4510256115,,WB10689,"180G佳积布54""",黑色,160,码,2,,,,XC2603005,2026-03-04 00:00:00,,,,,,,,,,,
,,,129+31=160,,,,,,,,XC2603005,2026-03-04 00:00:00,,,,,,,,,,,
4510255976,2X003611,WJ000025,"180G佳积布58""",棕色,30,码,1,,,,XC2603005,2026-03-04 00:00:00,,,,,,,,,,,
,,,小缸费,棕色,1,个,,,,,XC2603005,2026-03-04 00:00:00,,,,,,,,,,,
4510255075,3X000418M,WB13220,"180G K209网布54""",白色,3,码,1包,,,发中午,XC2603006,2026-03-05 00:00:00,,,,,,,,,,,
4510256115,,WD003684,"220G TANGO SUEDE鸡皮绒54""",深棕色,160,码,2,,,,XC2603007,2026-03-07 00:00:00,,,,,,,,,,,
,109+61=170(多10Y),,小缸费,深棕色,1,个,,,,,XC2603007,2026-03-07 00:00:00,,,,,,,,,,,
,,,货拉拉拉走,,,,,,,,,,,,,,,,,,,,
4510256048,3X000425C,WS001431,"320G YSD137加厚内里布54""",白色,239,码,3,,,,XC2603008,2026-03-07 00:00:00,,,,,,,,,,,
,,,79+80*2=239,,,,,,,,XC2603008,2026-03-07 00:00:00,,,,,,,,,,,
4510254500,2X003540,WB7416,"3U180G天鹅绒54""",黑色,48,码,9,,,,XC2603008,2026-03-07 00:00:00,,,,,,,,,,,
4510255322,2X003568,WB7416,"3U180G天鹅绒54""",黑色,493,码,,,,,XC2603008,2026-03-07 00:00:00,,,,,,,,,,,
4510255757,2X003608,WB7416,"3U180G天鹅绒54""",黑色,380,码,,,,,XC2603008,2026-03-07 00:00:00,,,,,,,,,,,
4510257401,2X003620,WB7416,"3U180G天鹅绒54""",黑色,10,码,,,,,XC2603008,2026-03-07 00:00:00,,,,,,,,,,,
,,,120*7+84+7=931,,,,,,,,XC2603008,2026-03-07 00:00:00,,,,,,,,,,,
4510255322,2X003568,WB10742,"300G提花天鹅绒54""",黑色,31,码,2,,,,XC2603009,2026-03-07 00:00:00,,,,,,,,,,,
4510255446,2X003588,WB10742,"300G提花天鹅绒54""",黑色,141,码,,,,,XC2603009,2026-03-07 00:00:00,,,,,,,,,,,
,,,100+72=172,,,,,,,,XC2603009,2026-03-07 00:00:00,,,,,,,,,,,
4510255322,2X003568,WB13224,"380G K666单层网布54""",白色,2065,码,30,,,,XC2603009,2026-03-07 00:00:00,,,,,,,,,,,
4510255358,2X003555,WB13224,"380G K666单层网布54""",白色,99,码,,,,,XC2603009,2026-03-07 00:00:00,,,,,,,,,,,
4510255446,2X003555,WB13224,"380G K666单层网布54""",白色,189,码,,,,,XC2603009,2026-03-07 00:00:00,,,,,,,,,,,
4510255757,2X003600,WB13224,"380G K666单层网布54""",白色,47,码,,,,,XC2603009,2026-03-07 00:00:00,,,,,,,,,,,
,,,30*80=2400,,,,,,,,XC2603009,2026-03-07 00:00:00,,,,,,,,,,,
4510255358,2X003596,WB4780,"230G 11301 POLYPAG II 网布54""",标准黑,74,码,5,,,,XC2603010,2026-03-07 00:00:00,,,,,,,,,,,
4510255446,2X003598,WB4780,"230G 11301 POLYPAG II 网布54""",标准黑,192,码,,,,,XC2603010,2026-03-07 00:00:00,,,,,,,,,,,
4510255757,2X003598,WB4780,"230G 11301 POLYPAG II 网布54""",标准黑,165,码,,,,,XC2603010,2026-03-07 00:00:00,,,,,,,,,,,
,,,100*4+31=431,,,,,,,,XC2603010,2026-03-07 00:00:00,,,,,,,,,,,
4510255322,2X003558,WB13223,"380G K666单层网布54""",黑色,1223,码,20,,,,XC2603010,2026-03-07 00:00:00,,,,,,,,,,,
4510255446,2X003558,WB13223,"380G K666单层网布54""",黑色,114,码,,,,,XC2603010,2026-03-07 00:00:00,,,,,,,,,,,
4510255757,2X003598,WB13223,"380G K666单层网布54""",黑色,212,码,,,,,XC2603010,2026-03-07 00:00:00,,,,,,,,,,,
,,,80*17+40+75+74=1549,,,,,,,,XC2603010,2026-03-07 00:00:00,,,,,,,,,,,
合        计,,,,,1980,码,25,,,,,,,,,,,,,,,,
注：我司仅对未开裁材料负责，已开裁材料经我司书面同意除外，其它概不负责。,,,,,,,,,,,XC2603010,2026-03-07 00:00:00,,,,,,,,,,,
收货单位签章：,,,,,,,,,送货单位签章：戴春莲,,,,,,,,,,,,,,
第一联：存根(白)       第二联：客户(红)       第三联：请款(蓝)        第四联：仓库(黄),,,,,,,,,,,,,,,,,,,,,,,
300码以下记得开小缸费  2338B和YS111黑白都要开染费  玛瑙黑和光亮白都开染费,,,,,,,,,,,,,,,,,,,,,,,
