泉州阳硕鞋材有限公司,,,,,,,,,,,,,,,,帆布不够500Y，小缸费500
2026年01月份请款明细（大货）,,,,,,,,,,,,,,,,
TO：福建安恒致远鞋业有限公司（越南安恒）,,,,,,,,,,,,,,,,
ATTN：康小姐,,,CC：财务,,,,,,,,币别:人民币,,,,,
行号,"交货 
日期",货单号,订购单号,形体号,产品名称,规格型号,辅助属性,加工,数量,单位,含税 单价,小缸费,总金额,备注,,
17,2025-12-23 00:00:00,APEX2512005,AHJPO2580188,ZVN25001-007-4,三明治网布,"54""",白色,全代,23,Y,14.5,,333.5,,,
36,2025-12-26 00:00:00,APEX2512009,AHJPO2580188,ZVN25007-031-2,毛巾布,"54""",米白11-0701TPG,全代,33,Y,7.5,,247.5,,,
36,2026-01-02 00:00:00,APEX2601001,AHJPO2580188,ZVN25007-031-2,毛巾布,"54""",米白11-0701TPG,全代,40,Y,7.5,,300,,,
36,2026-01-02 00:00:00,APEX2601001,AHJPO2580188,ZVN25007-031-3,毛巾布,"54""",米白11-0701TPG,全代,126,Y,7.5,300,1245,,,
36,2026-01-02 00:00:00,APEX2601001,AHJPO2580188,ZVN25001-007-4,8安  帆布,"54""",黑夜藍19-4023 TPG,全代,74,Y,13,500,1462,,,
36,2026-01-04 00:00:00,APEX2601002,AHJPO2580188,ZVN25002-049-1,8安  帆布,"54""",軟木褐16-1422 TPG,全代,41,Y,13,500,1033,,,
36,2026-01-04 00:00:00,APEX2601002,AHJPO2580188,ZVN25007-036-2,8安  帆布,"54""",古沙色15-1314TPG,全代,66,Y,13,500,1358,,,
36,2026-01-04 00:00:00,APEX2601002,AHJPO2580188,ZVN25002-051-1,8安  帆布,"54""",淺沙褐14-1210TPG-1,全代,321,Y,13,500,4673,,,
36,2026-01-04 00:00:00,APEX2601002,AHJPO2580188,ZVN25001-038- 2open,8安  帆布,"54""",真實紅19-1664TPG,全代,3,Y,13,,39,,,
36,2026-01-04 00:00:00,APEX2601002,AHJPO2580188,ZVN25001-038-2,8安  帆布,"54""",真實紅19-1664TPG,全代,45,Y,13,500,1085,,,
36,2026-01-06 00:00:00,APEX2601003,AHJPO2580188,ZVN25002-057-2,8安  帆布,"54""",雕褐色14-1310TPG,全代,51,码,13,,663,,,
36,2026-01-06 00:00:00,APEX2601003,AHJPO2580379,ZVN25007-073,8安  帆布,"54""",雕褐色14-1310TPG,全代,42,码,13,,546,,,
36,2026-01-06 00:00:00,APEX2601003,AHJPO2581109,ZVN25007-031-4,8安  帆布,"54""",雕褐色14-1310TPG,全代,84,Y,13,500,1592,,,
36,2026-01-07 00:00:00,APEX2601004,AHJPO2581109,ZVN25010-084,"毛巾布 54""","54""",米白(11-0701TPG),全代,78,Y,7.5,,585,,,
36,2026-01-07 00:00:00,APEX2601004,AHJPO2581109,ZVN25007-031-4,"毛巾布 54""","54""",米白(11-0701TPG),全代,146,Y,7.5,300,1395,,,
36,2026-01-07 00:00:00,APEX2601004,AHJPO2581109,ZVN25012-059-1,佳积布,1.5m 110g,白色,全代,33,Y,2.75,,90.75,,,
36,2026-01-07 00:00:00,APEX2601004,AHJPO2581109,ZVN25012-059-1open,佳积布,1.5m 110g,白色,全代,2,Y,2.75,,5.5,,,
36,2026-01-07 00:00:00,APEX2601004,AHJPO2581109,ZVN25010-084,佳积布,"120g* 54""",白色,全代,78,Y,2.75,,214.5,,,
36,2026-01-07 00:00:00,APEX2601004,AHJPO2581109,ZVN25007-031-4,佳积布,"120g* 54""",白色,全代,202,Y,2.75,,555.5,,,
36,2026-01-07 00:00:00,APEX2601004,AHJPO2581109,ZVN25010-085,佳积布,"120g* 54""",白色,全代,78,Y,2.75,,214.5,,,
36,2026-01-07 00:00:00,APEX2601005,AHJPO2581109,ZVN25012-059-1,QS-14736 三明治网布,"54""",葵蜜色(11-4300TPG),全代,12,Y,17,,204,,,
36,2026-01-07 00:00:00,APEX2601005,AHJPO2581109,ZVN25012-059-1open,QS-14736 三明治网布,"54""",葵蜜色(11-4300TPG),全代,1,Y,17,300,317,,,
36,2026-01-07 00:00:00,APEX2601005,AHJPO2581109,ZVN25012-059-1,"180g 丝光布 54""","54""",葵蜜色11-4300TPG,全代,18,Y,3.3,,59.4,,,
36,2026-01-07 00:00:00,APEX2601005,AHJPO2581109,ZVN25012-059-1open,"180g 丝光布 54""","54""",葵蜜色11-4300TPG,全代,1,Y,3.3,300,303.3,,,
36,2026-01-07 00:00:00,APEX2601005,AHJPO2580188,ZVN25002-018-9,YS-0731 三 明治网布,"54""",烏鴉咖19-0000TPG,全代,19,Y,14.5,300,575.5,,,
36,2026-01-07 00:00:00,APEX2601006,AHJPO2580379,ZVN25002-079,YS-0731 三 明治网布,"54""",黑色,全代,53,Y,14.5,,768.5,,,
36,2026-01-07 00:00:00,APEX2601006,AHJPO2580379,ZVN25002-079open,YS-0731 三 明治网布,"54""",黑色,全代,3,Y,14.5,,43.5,,,
36,2026-01-07 00:00:00,APEX2601006,AHJPO2580379,ZVN25002-079-1,YS-0731 三 明治网布,"54""",黑色,全代,17,Y,14.5,,246.5,,,
36,2026-01-08 00:00:00,APEX2601007,AHJPO2580188,ZVN25002-018-8,8安 帆布,"54""",羊皮色14-1122TPG,全代,29,Y,13,,377,,,
36,2026-01-08 00:00:00,APEX2601007,AHJPO2580188,ZVN25002-018-9,8安 帆布,"54""",羊皮色14-1122TPG,全代,195,Y,13,500,3035,,,
36,2026-01-09 00:00:00,APEX2601008,AHJPO2580379,ZVN25001-074,8安 帆布,"54""",赤熱綠13-0442TPG,全代,44,码,13,,572,,,
36,2026-01-09 00:00:00,APEX2601008,AHJPO2580379,ZVN25001-074open,8安 帆布,"54""",赤熱綠13-0442TPG,全代,3,码,13,500,539,,,
36,2026-01-09 00:00:00,APEX2601008,AHJPO2580379,ZVN25002-078,8安 帆布,"54""",摩根石12-2901TPG,全代,41,码,13,,533,,,
36,2026-01-09 00:00:00,APEX2601008,AHJPO2580379,ZVN25002-078open,8安 帆布,"54""",摩根石12-2901TPG,全代,3,码,13,500,539,,,
36,2026-01-09 00:00:00,APEX2601008,AHJPO2580188,ZVN25001-011-2,8安 帆布,"54""",橙子橘15-1247TPG,全代,50,Y,13,500,1150,,,
36,2026-01-10 00:00:00,APEX2601009,AHJPO2580379,ZVN25001-075open,YS-0731 三明治网布,"54""",潔白(11-4800TPG),全代,1,码,14.5,,14.5,,,
36,2026-01-10 00:00:00,APEX2601009,AHJPO2580379,ZVN25001-075,YS-0731 三明治网布,"54""",潔白(11-4800TPG),全代,14,码,14.5,,203,,,
36,2026-01-10 00:00:00,APEX2601009,AHJPO2580379,ZVN25002-076,YS-0731 三明治网布,"54""",明亮白(11-0601TPG),全代,11,码,14.5,,159.5,,,
36,2026-01-10 00:00:00,APEX2601009,AHJPO2580379,ZVN25002-077,YS-0731 三明治网布,"54""",明亮白(11-0601TPG),全代,32,码,14.5,,464,,,
36,2026-01-10 00:00:00,APEX2601009,AHJPO2580379,ZVN25002-078,YS-0731 三明治网布,"54""",明亮白(11-0601TPG),全代,11,码,14.5,,159.5,,,
36,2026-01-10 00:00:00,APEX2601009,AHJPO2581109,ZVN25001-002-8,YS-0731 三明治网布,"54""",雨竹灰15-4101TPX,全代,62,Y,14.5,300,1199,,,
36,2026-01-12 00:00:00,APEX2601010,AHJPO2580379,ZVN25007-073,毛巾布,"54""",镀银灰14-0000TPG,全代,72,码,7.5,,540,,,
36,2026-01-12 00:00:00,APEX2601010,AHJPO2580379,ZVN25007-073open,毛巾布,"54""",镀银灰14-0000TPG,全代,4,码,7.5,300,330,,,
36,2026-01-12 00:00:00,APEX2601010,AHJPO2580188,ZVN25002-057-2,YS-0731 三 明治网布,"54""",煙藍灰14-4203TPG,全代,77,Y,14.5,,1116.5,,,
36,2026-01-12 00:00:00,APEX2601010,AHJPO2580188,ZVN25002-057- 2open,YS-0731 三 明治网布,"54""",煙藍灰14-4203TPG,全代,4,Y,14.5,300,358,,,
36,2026-01-14 00:00:00,APEX2601011,AHJPO2580379,ZVN25002-076,8安 帆布,"54""",水绿色13-6006TPG,全代,41,码,13,500,1033,,,
36,2026-01-14 00:00:00,APEX2601011,AHJPO2581109,ZVN25010-085,毛巾布,"54""",暖沙色15-1214TPG,全代,78,Y,7.5,,585,,,
36,2026-01-14 00:00:00,APEX2601011,AHJPO2581109,ZVN25010-085open,毛巾布,"54""",暖沙色15-1214TPG,全代,4,Y,7.5,300,330,,,
36,2026-01-14 00:00:00,APEX2601011,AHJPO2580188,ZVN25001-006-2,8安 帆布,"54""",浅灰色16-4703TPG,全代,95,Y,13,,1235,,,
36,2026-01-14 00:00:00,APEX2601011,AHJPO2580188,ZVN25001-006-3,8安 帆布,"54""",浅灰色16-4703TPG,全代,45,Y,13,500,1085,,,
36,2026-01-14 00:00:00,APEX2601012,AHJPO2601313,ZVN25015-083,佳积布,"180 54""",黑夜藍19-4023TPG,全代,16,Y,3.9,,62.4,,,
36,2026-01-14 00:00:00,APEX2601012,AHJPO2601313,ZVN25015-083open,佳积布,"180 54""",黑夜藍19-4023TPG,全代,1,Y,3.9,300,303.9,,,
36,2026-01-14 00:00:00,APEX2601012,AHJPO2580379,ZVN25001-074open,YS-0731 三 明治网布,"54""",水滴灰14-4104TPG,全代,1,码,14.5,,14.5,,,
36,2026-01-14 00:00:00,APEX2601012,AHJPO2580379,ZVN25001-074,YS-0731 三 明治网布,"54""",水滴灰14-4104TPG,全代,14,码,14.5,300,503,,,
36,2026-01-15 00:00:00,APEX2601013,AHJPO2581109,ZVN25012-059-1,双面莱卡布,1.5m,白色,全代,21,Y,33.5,,703.5,,,
36,2026-01-15 00:00:00,APEX2601013,AHJPO2581109,ZVN25012-059-1open,双面莱卡布,1.5m,白色,全代,2,Y,33.5,,67,,,
36,2026-01-15 00:00:00,APEX2601013,AHJPO2601313,ZVN25015-081open,210D 尼龙布,"54""",白玉髓12-4300TPG,全代,3,Y,5,,15,,,
36,2026-01-15 00:00:00,APEX2601013,AHJPO2601313,ZVN25015-081-1,210D 尼龙布,"54""",白玉髓12-4300TPG,全代,9,Y,5,,45,,,
36,2026-01-15 00:00:00,APEX2601013,AHJPO2601313,ZVN25015-081,210D 尼龙布,"54""",白玉髓12-4300TPG,全代,56,Y,5,600,880,,,
36,2026-01-15 00:00:00,APEX2601014,AHJPO2601313,ZVN25015-082-1,佳积布,"180 54""",墨綠色18-5610TPG,全代,7,Y,3.9,,27.3,,,
36,2026-01-15 00:00:00,APEX2601014,AHJPO2601313,ZVN25015-082open,佳积布,"180 54""",墨綠色18-5610TPG,全代,2,Y,3.9,,7.8,,,
36,2026-01-15 00:00:00,APEX2601014,AHJPO2601313,ZVN25015-082,佳积布,"180 54""",墨綠色18-5610TPG,全代,21,Y,3.9,300,381.9,,,
36,2026-01-15 00:00:00,APEX2601014,AHJPO2580379,ZVN25010-080open,毛巾布,"54""",天鵝灰12-0000TPG,全代,10,码,7.5,,75,,,
36,2026-01-15 00:00:00,APEX2601014,AHJPO2580379,ZVN25010-080,毛巾布,"54""",天鵝灰12-0000TPG,全代,288,码,7.5,300,2460,,,
36,2026-01-17 00:00:00,APEX2601015,AHJPO2601313,ZVN25015-081,8安帆布,"54""",暗橘茶18-1355TPG,全代,113,Y,13,,1469,,,
36,2026-01-17 00:00:00,APEX2601015,AHJPO2601313,ZVN25015-081-1,8安帆布,"54""",暗橘茶18-1355TPG,全代,18,Y,13,,234,,,
36,2026-01-17 00:00:00,APEX2601015,AHJPO2601313,ZVN25015-081open,8安帆布,"54""",暗橘茶18-1355TPG,全代,6,Y,13,500,578,,,
36,2026-01-19 00:00:00,APEX2601016,AHJPO2601313,ZVN25015-081open,YS-0731 三明治网布,"54""",白玉髓12-4300TPG,全代,2,Y,14.5,,29,,,
36,2026-01-19 00:00:00,APEX2601016,AHJPO2601313,ZVN25015-081-1,YS-0731 三明治网布,"54""",白玉髓12-4300TPG,全代,6,Y,14.5,,87,,,
36,2026-01-19 00:00:00,APEX2601016,AHJPO2601313,ZVN25015-081,YS-0731 三明治网布,"54""",白玉髓12-4300TPG,全代,31,Y,14.5,300,749.5,,,
36,2026-01-19 00:00:00,APEX2601016,AHJPO2601313,ZVN25015-083open,尼龙布,"54""",黑夜藍19-4023TPG,全代,2,Y,5,,10,,,
36,2026-01-19 00:00:00,APEX2601016,AHJPO2601313,ZVN25015-083,尼龙布,"54""",黑夜藍19-4023TPG,全代,22,Y,5,600,710,,,
36,2026-01-20 00:00:00,APEX2601017,AHJPO2581109,ZVN25007-031-4,佳积布,"120g* 54""",白色,全代,104,Y,2.75,,286,,,
36,2026-01-20 00:00:00,APEX2601017,AHJPO2604222,ZVN25002-008-11,YS-0731 三明治网布,"54""",明亮白11-0601TPG,全代,51,Y,14.5,,739.5,,,
36,2026-01-21 00:00:00,APEX2601018,AHJPO2601313,ZVN25015-082open,8安  帆布,"54""",墨綠色18-5610TPG,全代,3,Y,13,,39,,,
36,2026-01-21 00:00:00,APEX2601018,AHJPO2601313,ZVN25015-082,8安  帆布,"54""",墨綠色18-5610TPG,全代,58,Y,13,,754,,,
36,2026-01-21 00:00:00,APEX2601018,AHJPO2601313,ZVN25015-082-1,8安  帆布,"54""",墨綠色18-5610TPG,全代,18,Y,13,500,734,,,
36,2026-01-21 00:00:00,APEX2601018,AHJPO2604222,ZVN25002-008-11,8安  帆布,"54""",古沙色15-1314TPG,全代,191,Y,13,500,2983,,,
36,2026-01-21 00:00:00,APEX2601018,AHJPO2601313,ZVN25015-083,YS-0731 三明治网布,"54""",黑夜藍19-4023TPG,全代,12,Y,14.5,,174,,,
36,2026-01-21 00:00:00,APEX2601018,AHJPO2601313,ZVN25015-083open,YS-0731 三明治网布,"54""",黑夜藍19-4023TPG,全代,1,Y,14.5,300,314.5,,,
36,2026-01-22 00:00:00,APEX2601019,AHJPO2601313,ZVN25015-082open,YS-0731 三明治网布,"54""",极度灰17-5104TPG,全代,1,Y,14.5,,14.5,,,
36,2026-01-22 00:00:00,APEX2601019,AHJPO2601313,ZVN25015-082-1,YS-0731 三明治网布,"54""",极度灰17-5104TPG,全代,6,Y,14.5,,87,,,
36,2026-01-22 00:00:00,APEX2601019,AHJPO2601313,ZVN25015-082,YS-0731 三明治网布,"54""",极度灰17-5104TPG,全代,16,Y,14.5,,232,,,
36,2026-01-22 00:00:00,APEX2601019,AHJPO2601313,ZVN25015-082-1open,YS-0731 三明治网布,"54""",极度灰17-5104TPG,全代,1,Y,14.5,300,314.5,,,
36,2026-01-23 00:00:00,APEX2601020,AHJPO2601313,ZVN25015-083,8安 帆布,"54""",霜雲杉18-5622TPG,全代,44,Y,13,,572,,,
36,2026-01-23 00:00:00,APEX2601020,AHJPO2601313,ZVN25015-083open,8安 帆布,"54""",霜雲杉18-5622TPG,全代,3,Y,13,500,539,,,
36,2026-01-23 00:00:00,APEX2601020,AHJPO2580379,ZVN25001-075,8安 帆布,"54""",暗雲杉綠19-4524TPG,全代,44,Y,13,,572,,,
36,2026-01-23 00:00:00,APEX2601020,AHJPO2580379,ZVN25001-075open,8安 帆布,"54""",暗雲杉綠19-4524TPG,全代,3,Y,13,500,539,,,
36,2026-01-24 00:00:00,APEX2601021,AHJPO2601313,ZVN25015-082,210D 尼龙布,"54""",极度灰17-5104TPG,全代,29,Y,5,,145,,,
36,2026-01-24 00:00:00,APEX2601021,AHJPO2601313,ZVN25015-082open,210D 尼龙布,"54""",极度灰17-5104TPG,全代,2,Y,5,,10,,,
36,2026-01-24 00:00:00,APEX2601021,AHJPO2601313,ZVN25015-082-1,210D 尼龙布,"54""",极度灰17-5104TPG,全代,9,Y,5,600,645,,,
36,2026-01-28 00:00:00,APEX2601022,AHJPO2607546,ZVN25002-077,8安帆布,"54""",黑色,全代,119,Y,13,,1547,,,
36,2026-01-28 00:00:00,APEX2601022,AHJPO2607546,ZVN25002-079,8安帆布,"54""",黑色,全代,199,Y,13,,2587,,,
36,2026-01-28 00:00:00,APEX2601022,AHJPO2607546,ZVN25002-079-1,8安帆布,"54""",黑色,全代,64,Y,13,,832,,,
36,2026-01-29 00:00:00,APEX2601023,AHJPO2601313,ZVN25015-081-1,佳积布,"180 54""",白玉髓12-4300TPG,全代,7,Y,3.9,,27.3,,,
36,2026-01-29 00:00:00,APEX2601023,AHJPO2601313,ZVN25015-081open,佳积布,"180 54""",白玉髓12-4300TPG,全代,3,Y,3.9,,11.7,,,
36,2026-01-29 00:00:00,APEX2601023,AHJPO2601313,ZVN25015-081,佳积布,"180 54""",白玉髓12-4300TPG,全代,41,Y,3.9,300,459.9,,,
,,,,,以下空白,,,,,,,,,,,
,,,,合       计：,,,,,4286,,,,60284.15,,,
,,,,人民币大写：,陆万零贰佰捌拾肆元壹角伍分,,,,,,,,,,,
客户回签:,,,,,审  核：,,,,,,,,制　表：戴春莲,,,
"附言:请核对确认后传回我司! 若每月5号前不回签,则视同确认我司金额.多谢支持!",,,,,,,,,,,,,,,,
,,K208/BK布,,,,,,,,,,,,,,
